Region,Month,Year,State_Name,Wind,Solar,Biomass,Bagasse,Small Hydel,Others,RE Generation Total
ER,Apr,2022,ER<br>Apr-2022,0,103.7422584,7.180025,0,29.984253,140.566884,281.4734204
ER,Mar,2022,ER<br>Mar-2022,0,100.7,8.66,8.12,28.16,144.31,289.95
ER,Feb,2022,ER<br>Feb-2022,0,89.15,7.59,14.76,25.59,124.01,261.1
ER,Jan,2022,ER<br>Jan-2022,0,74.67,9.4,20.46,23.67,145.53,273.73
ER,Dec,2021,ER<br>Dec-2021,0,67.9,8.9,11.92,29.92,147.09,265.73
ER,Nov,2021,ER<br>Nov-2021,0,70.26,8.15,10.59,49.67,145.77,284.44
ER,Oct,2021,ER<br>Oct-2021,0,78.38,6.11,0,83.65,140.83,308.97
ER,Sep,2021,ER<br>Sep-2021,0,65.61,8.69,0,82.99,128.51,285.8
ER,Aug,2021,ER<br>Aug-2021,0,73.82,10.16,0,86.91,126.01,296.9
ER,Jul,2021,ER<br>Jul-2021,0,63.49,7.7,0,73.45,111.14,255.78
